0|假；错误（C++ 布尔运算，0 表示假）
神犇|对顶级选手的尊称，比“大佬”更高一级
什么鬼/smg|形容非常不解或惊讶
少爷机|指运行速度很快的机器
试炼场|洛谷推出的系统练习功能，2020年被“题单”替代，有“已离去”的含义
水|泛指简单的、无聊的
水题|泛指简单的题目
虽然但是/srds|表示转折
spfa|源于 NOI2018 梗，出题人直言 spfa 算法会被卡，故常表示“死了”
sqlm|“山前留名”，认为帖子会被删而提前留名
THU|清华大学 Tsinghua University 的简称
thx|thanks，表示感谢
题目管理员/题管|洛谷管理题目/题解/blog/比赛的管理员统称
讨论区题解/tlqtj|在讨论区发布严重不符合规定的题解
陶片/桃片|指洛谷处决用户的“陶片放逐”板块
tql|“太强了”，常用于膜拜他人
铜球/Cu ball|“同求”的谐音，表示有相同需求
UKE|指用户 @Unknown_Error，其神帖创造了“炸出11个管理”的记录
u1s1|“有一说一”的谐音/拼音首字母缩写
upd|update，更新日志
万能头文件|OI 里基本通用的头文件 bits/stdc++.h
wlt/无厘头|难以理解的物理题，或指做事说话令人难以理解
文操|指题目需要使用文件操作输入输出
我谔谔/谔谔|有敷衍、质疑、轻微谴责之意
文化课/whk|文科理科的合称，不包括 OI
wqy|无意义，常用搭配 wyy, jbl
吸氧|指评测时开启 O2 优化
xql|“小蒟蒻”的缩写
xxs/小学生|泛指心智、言论不成熟的人（贬义）
厌氧/毒氧|开启 O2 优化后效率显著降低或出现错误
眼睛/眼角膜不用可以捐给有需要的人|指用户发帖时没仔细阅读信息的可笑错误
扬了|希望某个题目/用户/帖子受到封禁/删除的惩罚
游记|OI 比赛从备赛到赛后总结的全过程，对后人很有指导意义
友链|用户通过提供他人主页来宣传双方，达到互利共赢
有一说一/u1s1|实话实说、就事论事
宇宙射线|源自 CSP 题面，现指离谱的原因，多用于调侃
云剪贴板/云剪|洛谷功能，可发送文字/代码/图片，但不支持他人修改
在线IDE|在网页浏览器上可以运行的代码编辑器
造谣社|洛谷用户社团，以“造谣”为特色
zici/资瓷|“支持”的谐音，常见于帖子评论区
紫书|刘汝佳的《算法竞赛入门经典》第2版，因颜色得名
自爆|自己说出某些个人信息，如自爆真名
祝好|祝好运
致远星/zyx|指某事件过去很久后才意识到的人（致远星战况如何？）
站长团|洛谷的创始人/开发者，目前有 @kkksc03，@lzn，@lin_toto
指挥使/野心家/zwc|洛谷管理员 @zhouwc
抓机|“爪机”的谐音，指手机客户端
装弱|大佬虚伪地表示自己很弱
神仙解法|非常巧妙或匪夷所思的解题方法
阅读理解题|题目描述很长、很难理解的题目
卡题|在某道题上卡住很久无法通过
刷题|大量练习题目以提高水平
刷水题|做难度较低的题目
刷难题|挑战高难度题目
AC率|用户通过题目数与提交次数的比率
通过率|某道题目的总通过次数与总提交次数的比率
一血|First Blood，某道题目的第一个通过者
首A|某道题目的第一个通过者，同“一血”
压行|将代码写成一行或极简格式，常被认为是不良习惯
wgzs/违规自删|指在讨论区或学术版发布的帖子，如果违规，发布者自己删除
